product_id,list_price,valid_from,valid_to
P0001,9.9,2024-07-01,2025-03-03
P0001,9.09,2025-03-04,2025-03-26
P0001,9.72,2025-03-27,9999-12-31
P0002,3.19,2024-07-01,2025-04-14
P0002,3.31,2025-04-15,2025-07-01
P0002,3.41,2025-07-02,2026-01-14
P0002,3.65,2026-01-15,9999-12-31
P0003,11.37,2024-07-01,2025-01-29
P0003,10.55,2025-01-30,2025-07-02
P0003,10.01,2025-07-03,9999-12-31
P0004,14.24,2024-07-01,2025-01-30
P0004,14.88,2025-01-31,9999-12-31
P0005,6.27,2024-07-01,2025-06-24
P0005,6.57,2025-06-25,9999-12-31
P0006,6.0,2024-07-01,2024-12-18
P0006,6.17,2024-12-19,2025-03-17
P0006,6.43,2025-03-18,2025-12-21
P0006,6.19,2025-12-22,9999-12-31
P0007,2.72,2024-07-01,2026-04-16
P0007,2.87,2026-04-17,9999-12-31
P0008,11.64,2024-07-01,2026-03-06
P0008,12.69,2026-03-07,9999-12-31
P0009,1.11,2024-07-01,2026-02-12
P0009,1.19,2026-02-13,2026-03-20
P0009,1.22,2026-03-21,9999-12-31
P0010,5.02,2024-07-01,2025-06-24
P0010,5.26,2025-06-25,2025-06-29
P0010,4.95,2025-06-30,9999-12-31
P0011,8.3,2024-07-01,2024-11-06
P0011,7.64,2024-11-07,2025-01-20
P0011,7.02,2025-01-21,2025-11-27
P0011,7.32,2025-11-28,9999-12-31
P0012,16.58,2024-07-01,2025-02-16
P0012,17.31,2025-02-17,2025-09-21
P0012,18.02,2025-09-22,2026-02-05
P0012,18.62,2026-02-06,9999-12-31
P0013,15.65,2024-07-01,2025-12-31
P0013,16.88,2026-01-01,2026-04-27
P0013,17.44,2026-04-28,9999-12-31
P0014,3.45,2024-07-01,2026-01-30
P0014,3.32,2026-01-31,9999-12-31
P0015,3.8,2024-07-01,2024-11-26
P0015,3.94,2024-11-27,2025-03-08
P0015,4.28,2025-03-09,2025-11-05
P0015,4.5,2025-11-06,9999-12-31
P0016,1.17,2024-07-01,2025-02-06
P0016,1.12,2025-02-07,2026-01-06
P0016,1.15,2026-01-07,2026-01-07
P0016,1.09,2026-01-08,9999-12-31
P0017,13.18,2024-07-01,2024-09-22
P0017,14.19,2024-09-23,2025-01-09
P0017,14.87,2025-01-10,2026-05-30
P0017,15.55,2026-05-31,9999-12-31
P0018,16.72,2024-07-01,2025-01-01
P0018,17.53,2025-01-02,9999-12-31
P0019,5.33,2024-07-01,2025-07-31
P0019,5.8,2025-08-01,2025-10-14
P0019,5.52,2025-10-15,2026-03-01
P0019,5.73,2026-03-02,9999-12-31
P0020,7.59,2024-07-01,2025-12-24
P0020,7.79,2025-12-25,9999-12-31
P0021,17.62,2024-07-01,2025-01-04
P0021,18.2,2025-01-05,9999-12-31
P0022,18.62,2024-07-01,2025-03-02
P0022,17.21,2025-03-03,9999-12-31
P0023,3.24,2024-07-01,2025-10-10
P0023,3.37,2025-10-11,2026-01-23
P0023,3.27,2026-01-24,9999-12-31
P0024,9.21,2024-07-01,2025-05-12
P0024,9.94,2025-05-13,2026-04-16
P0024,10.16,2026-04-17,9999-12-31
P0025,9.49,2024-07-01,2025-06-01
P0025,8.69,2025-06-02,2025-10-10
P0025,9.38,2025-10-11,2026-01-12
P0025,9.16,2026-01-13,9999-12-31
P0026,7.46,2024-07-01,2024-10-31
P0026,8.01,2024-11-01,2025-03-12
P0026,7.41,2025-03-13,9999-12-31
P0027,18.06,2024-07-01,2025-12-08
P0027,17.14,2025-12-09,9999-12-31
P0028,10.53,2024-07-01,2025-08-01
P0028,9.77,2025-08-02,9999-12-31
P0029,12.31,2024-07-01,2025-12-21
P0029,12.8,2025-12-22,9999-12-31
P0030,13.44,2024-07-01,2025-01-28
P0030,14.26,2025-01-29,2025-03-14
P0030,13.19,2025-03-15,2025-07-16
P0030,13.68,2025-07-17,9999-12-31
P0031,14.0,2024-07-01,2025-11-05
P0031,14.79,2025-11-06,9999-12-31
P0032,18.24,2024-07-01,2025-06-15
P0032,16.95,2025-06-16,2026-01-19
P0032,18.46,2026-01-20,9999-12-31
P0033,18.01,2024-07-01,2025-10-10
P0033,19.61,2025-10-11,2025-10-24
P0033,18.66,2025-10-25,9999-12-31
