product_id,ean,product_name,category,brand,unit_size,unit_cost,initial_list_price
P0001,4011254265893,Kiez Pils Alkoholfrei 0.33L Flasche,Bier,Kiez Pils,0.33L Flasche,6.08,9.9
P0002,4020964925416,Kiez Pils Helles 0.5L Flasche,Bier,Kiez Pils,0.5L Flasche,2.37,3.19
P0003,4082371207355,Schultheiss Radler 20x0.5L Kasten,Bier,Schultheiss,20x0.5L Kasten,7.14,11.37
P0004,4021137842328,Hopfenwerk Pils 6x0.5L,Bier,Hopfenwerk,6x0.5L,8.71,14.24
P0005,4069657779148,Spree Braeu Export 0.5L Flasche,Bier,Spree Braeu,0.5L Flasche,4.37,6.27
P0006,4012237354224,Potsdamer Rex Helles 20x0.5L Kasten,Bier,Potsdamer Rex,20x0.5L Kasten,4.81,6.0
P0007,4047720288738,Spree Braeu Radler 0.5L Flasche,Bier,Spree Braeu,0.5L Flasche,1.67,2.72
P0008,4082392482404,Spree Braeu Pils 20x0.5L Kasten,Bier,Spree Braeu,20x0.5L Kasten,9.36,11.64
P0009,4084648575338,Potsdamer Rex Weizen 6x0.5L,Bier,Potsdamer Rex,6x0.5L,0.67,1.11
P0010,4064541423862,Hopfenwerk Helles 20x0.5L Kasten,Bier,Hopfenwerk,20x0.5L Kasten,3.55,5.02
P0011,4048329387773,Kiez Pils Export 20x0.5L Kasten,Bier,Kiez Pils,20x0.5L Kasten,5.56,8.3
P0012,4032305560665,Spree Braeu Pils 6x0.5L,Bier,Spree Braeu,6x0.5L,11.42,16.58
P0013,4015990297125,Schultheiss Helles 20x0.5L Kasten,Bier,Schultheiss,20x0.5L Kasten,9.47,15.65
P0014,4037930120652,Hopfenwerk Weizen 6x0.5L,Bier,Hopfenwerk,6x0.5L,2.68,3.45
P0015,4023825205567,Kiez Pils Pils 20x0.5L Kasten,Bier,Kiez Pils,20x0.5L Kasten,2.46,3.8
P0016,4025717732384,Kiez Pils Weizen 0.5L Flasche,Bier,Kiez Pils,0.5L Flasche,0.69,1.17
P0017,4038619198725,Hopfenwerk Pils 0.33L Flasche,Bier,Hopfenwerk,0.33L Flasche,8.89,13.18
P0018,4013912755581,Spree Braeu Export 6x0.5L,Bier,Spree Braeu,6x0.5L,13.11,16.72
P0019,4047463618312,Potsdamer Rex Helles 20x0.5L Kasten,Bier,Potsdamer Rex,20x0.5L Kasten,3.82,5.33
P0020,4019150471261,Schultheiss Helles 0.5L Flasche,Bier,Schultheiss,0.5L Flasche,5.36,7.59
P0021,4085921745642,Berliner Kindl Export 0.5L Flasche,Bier,Berliner Kindl,0.5L Flasche,10.64,17.62
P0022,4080152978668,Berliner Kindl Alkoholfrei 20x0.5L Kasten,Bier,Berliner Kindl,20x0.5L Kasten,14.38,18.62
P0023,4056280058316,Spree Braeu Radler 6x0.5L,Bier,Spree Braeu,6x0.5L,2.3,3.24
