promo_id,product_id,start_date,end_date,discount_pct
PR00001,P0141,2024-07-01,2024-07-07,15
PR00002,P0035,2024-07-01,2024-07-07,20
PR00003,P0158,2024-07-01,2024-07-07,20
PR00004,P0169,2024-07-01,2024-07-07,20
PR00005,P0235,2024-07-01,2024-07-07,15
PR00006,P0239,2024-07-01,2024-07-07,15
PR00007,P0026,2024-07-01,2024-07-07,10
PR00008,P0273,2024-07-01,2024-07-07,10
PR00009,P0145,2024-07-01,2024-07-07,20
PR00010,P0078,2024-07-01,2024-07-07,10
PR00011,P0196,2024-07-01,2024-07-07,10
PR00012,P0082,2024-07-01,2024-07-07,10
PR00013,P0085,2024-07-01,2024-07-07,10
PR00014,P0030,2024-07-01,2024-07-07,15
PR00015,P0092,2024-07-01,2024-07-07,15
PR00016,P0011,2024-07-01,2024-07-07,15
PR00017,P0118,2024-07-01,2024-07-07,10
PR00018,P0013,2024-07-01,2024-07-07,15
PR00019,P0059,2024-07-01,2024-07-07,15
PR00020,P0274,2024-07-01,2024-07-07,20
PR00021,P0081,2024-07-01,2024-07-07,15
PR00022,P0133,2024-07-01,2024-07-07,15
PR00023,P0245,2024-07-01,2024-07-07,15
PR00024,P0170,2024-07-01,2024-07-07,25
PR00025,P0015,2024-07-08,2024-07-14,10
PR00026,P0039,2024-07-08,2024-07-14,10
PR00027,P0268,2024-07-08,2024-07-14,15
PR00028,P0137,2024-07-08,2024-07-14,20
PR00029,P0244,2024-07-08,2024-07-14,20
PR00030,P0008,2024-07-08,2024-07-14,15
PR00031,P0100,2024-07-08,2024-07-14,20
PR00032,P0062,2024-07-08,2024-07-14,15
PR00033,P0093,2024-07-08,2024-07-14,20
PR00034,P0213,2024-07-08,2024-07-14,15
PR00035,P0140,2024-07-08,2024-07-14,10
PR00036,P0025,2024-07-08,2024-07-14,25
PR00037,P0019,2024-07-08,2024-07-14,10
PR00038,P0255,2024-07-08,2024-07-14,10
PR00039,P0038,2024-07-08,2024-07-14,10
PR00040,P0075,2024-07-08,2024-07-14,15
PR00041,P0275,2024-07-08,2024-07-14,15
PR00042,P0293,2024-07-08,2024-07-14,15
PR00043,P0212,2024-07-08,2024-07-14,20
PR00044,P0103,2024-07-08,2024-07-14,10
PR00045,P0136,2024-07-08,2024-07-14,15
PR00046,P0130,2024-07-08,2024-07-14,10
PR00047,P0271,2024-07-08,2024-07-14,20
PR00048,P0165,2024-07-08,2024-07-14,10
PR00049,P0260,2024-07-15,2024-07-21,15
PR00050,P0149,2024-07-15,2024-07-21,10
PR00051,P0060,2024-07-15,2024-07-21,15
PR00052,P0012,2024-07-15,2024-07-21,20
PR00053,P0029,2024-07-15,2024-07-21,10
PR00054,P0054,2024-07-15,2024-07-21,20
PR00055,P0114,2024-07-15,2024-07-21,10
PR00056,P0235,2024-07-15,2024-07-21,15
PR00057,P0190,2024-07-15,2024-07-21,15
PR00058,P0154,2024-07-15,2024-07-21,10
PR00059,P0141,2024-07-15,2024-07-21,25
PR00060,P0010,2024-07-15,2024-07-21,15
PR00061,P0127,2024-07-15,2024-07-21,25
PR00062,P0099,2024-07-15,2024-07-21,10
PR00063,P0035,2024-07-15,2024-07-21,20
PR00064,P0195,2024-07-15,2024-07-21,25
PR00065,P0007,2024-07-15,2024-07-21,15
PR00066,P0254,2024-07-15,2024-07-21,10
PR00067,P0169,2024-07-15,2024-07-21,20
PR00068,P0264,2024-07-15,2024-07-21,15
PR00069,P0223,2024-07-15,2024-07-21,25
PR00070,P0096,2024-07-15,2024-07-21,15
PR00071,P0040,2024-07-15,2024-07-21,10
PR00072,P0226,2024-07-15,2024-07-21,10
PR00073,P0290,2024-07-22,2024-07-28,10
PR00074,P0192,2024-07-22,2024-07-28,10
PR00075,P0247,2024-07-22,2024-07-28,15
PR00076,P0274,2024-07-22,2024-07-28,20
PR00077,P0195,2024-07-22,2024-07-28,10
PR00078,P0193,2024-07-22,2024-07-28,20
PR00079,P0133,2024-07-22,2024-07-28,20
PR00080,P0158,2024-07-22,2024-07-28,10
PR00081,P0267,2024-07-22,2024-07-28,20
PR00082,P0021,2024-07-22,2024-07-28,15
PR00083,P0203,2024-07-22,2024-07-28,10
PR00084,P0009,2024-07-22,2024-07-28,15
PR00085,P0250,2024-07-22,2024-07-28,10
PR00086,P0068,2024-07-22,2024-07-28,20
PR00087,P0184,2024-07-22,2024-07-28,25
PR00088,P0212,2024-07-22,2024-07-28,20
PR00089,P0071,2024-07-22,2024-07-28,15
PR00090,P0033,2024-07-22,2024-07-28,15
PR00091,P0023,2024-07-22,2024-07-28,25
PR00092,P0141,2024-07-22,2024-07-28,10
PR00093,P0111,2024-07-22,2024-07-28,10
PR00094,P0253,2024-07-22,2024-07-28,15
PR00095,P0246,2024-07-22,2024-07-28,10
PR00096,P0022,2024-07-22,2024-07-28,10
PR00097,P0281,2024-07-29,2024-08-04,10
PR00098,P0075,2024-07-29,2024-08-04,10
PR00099,P0089,2024-07-29,2024-08-04,20
PR00100,P0012,2024-07-29,2024-08-04,20
PR00101,P0079,2024-07-29,2024-08-04,15
PR00102,P0216,2024-07-29,2024-08-04,10
PR00103,P0054,2024-07-29,2024-08-04,10
PR00104,P0007,2024-07-29,2024-08-04,25
PR00105,P0255,2024-07-29,2024-08-04,15
PR00106,P0002,2024-07-29,2024-08-04,15
PR00107,P0224,2024-07-29,2024-08-04,15
PR00108,P0167,2024-07-29,2024-08-04,15
PR00109,P0254,2024-07-29,2024-08-04,15
PR00110,P0014,2024-07-29,2024-08-04,15
PR00111,P0044,2024-07-29,2024-08-04,20
PR00112,P0166,2024-07-29,2024-08-04,25
PR00113,P0098,2024-07-29,2024-08-04,25
PR00114,P0207,2024-07-29,2024-08-04,15
PR00115,P0247,2024-07-29,2024-08-04,15
PR00116,P0030,2024-07-29,2024-08-04,20
PR00117,P0105,2024-07-29,2024-08-04,20
PR00118,P0200,2024-07-29,2024-08-04,15
PR00119,P0099,2024-07-29,2024-08-04,20
PR00120,P0123,2024-07-29,2024-08-04,20
PR00121,P0243,2024-08-05,2024-08-11,10
PR00122,P0155,2024-08-05,2024-08-11,25
PR00123,P0061,2024-08-05,2024-08-11,20
PR00124,P0086,2024-08-05,2024-08-11,25
PR00125,P0060,2024-08-05,2024-08-11,25
PR00126,P0189,2024-08-05,2024-08-11,25
PR00127,P0250,2024-08-05,2024-08-11,20
PR00128,P0210,2024-08-05,2024-08-11,15
PR00129,P0278,2024-08-05,2024-08-11,10
PR00130,P0286,2024-08-05,2024-08-11,15
PR00131,P0169,2024-08-05,2024-08-11,20
PR00132,P0001,2024-08-05,2024-08-11,15
PR00133,P0225,2024-08-05,2024-08-11,20
PR00134,P0219,2024-08-05,2024-08-11,10
PR00135,P0224,2024-08-05,2024-08-11,15
PR00136,P0085,2024-08-05,2024-08-11,15
PR00137,P0179,2024-08-05,2024-08-11,15
PR00138,P0215,2024-08-05,2024-08-11,10
PR00139,P0170,2024-08-05,2024-08-11,10
PR00140,P0109,2024-08-05,2024-08-11,20
PR00141,P0069,2024-08-05,2024-08-11,15
PR00142,P0143,2024-08-05,2024-08-11,10
PR00143,P0176,2024-08-05,2024-08-11,10
PR00144,P0039,2024-08-05,2024-08-11,15
PR00145,P0133,2024-08-12,2024-08-18,25
PR00146,P0084,2024-08-12,2024-08-18,15
PR00147,P0068,2024-08-12,2024-08-18,15
PR00148,P0002,2024-08-12,2024-08-18,20
PR00149,P0225,2024-08-12,2024-08-18,15
