sale_date,store_id,product_id,units_sold,unit_price,promo_flag
2026-06-01,S001,P0003,11,10.01,0
2026-06-01,S001,P0007,13,2.58,1
2026-06-01,S001,P0008,10,10.79,1
2026-06-01,S001,P0010,11,4.95,0
2026-06-01,S001,P0013,3,17.44,0
2026-06-01,S001,P0014,17,3.32,0
2026-06-01,S001,P0018,14,17.53,0
2026-06-01,S001,P0023,18,3.27,0
2026-06-01,S001,P0033,12,18.66,0
2026-06-01,S001,P0036,11,12.61,0
2026-06-01,S001,P0038,12,8.64,0
2026-06-01,S001,P0041,14,15.76,0
2026-06-01,S001,P0042,12,12.71,0
2026-06-01,S001,P0046,18,22.01,0
2026-06-01,S001,P0053,9,3.18,0
2026-06-01,S001,P0056,16,10.41,1
2026-06-01,S001,P0067,8,11.21,0
2026-06-01,S001,P0068,8,11.35,0
2026-06-01,S001,P0073,9,19.39,0
2026-06-01,S001,P0080,12,8.77,1
2026-06-01,S001,P0086,14,18.47,0
2026-06-01,S001,P0087,15,1.21,0
2026-06-01,S001,P0095,19,4.52,0
2026-06-01,S001,P0097,12,0.83,0
2026-06-01,S001,P0100,17,5.55,0
2026-06-01,S001,P0101,21,6.7,0
2026-06-01,S001,P0113,14,8.34,0
2026-06-01,S001,P0116,4,9.63,0
2026-06-01,S001,P0117,18,1.43,0
2026-06-01,S001,P0118,19,5.15,0
2026-06-01,S001,P0123,16,3.3,0
2026-06-01,S001,P0130,18,4.98,0
2026-06-01,S001,P0137,22,1.71,0
2026-06-01,S001,P0141,9,4.39,0
2026-06-01,S001,P0142,21,7.38,0
2026-06-01,S001,P0152,12,6.94,0
2026-06-01,S001,P0153,10,4.42,0
2026-06-01,S001,P0156,12,5.8,0
2026-06-01,S001,P0160,15,2.39,0
2026-06-01,S001,P0163,5,4.27,0
2026-06-01,S001,P0172,6,1.26,0
2026-06-01,S001,P0177,14,6.95,1
2026-06-01,S001,P0179,5,2.39,0
2026-06-01,S001,P0186,11,3.71,1
2026-06-01,S001,P0187,19,1.77,0
2026-06-01,S001,P0189,12,7.99,0
2026-06-01,S001,P0193,12,4.23,0
2026-06-01,S001,P0196,6,3.47,0
2026-06-01,S001,P0199,7,3.75,0
2026-06-01,S001,P0202,14,1.99,0
2026-06-01,S001,P0203,8,4.98,0
2026-06-01,S001,P0205,8,6.57,0
2026-06-01,S001,P0206,11,3.93,1
2026-06-01,S001,P0207,20,8.64,0
2026-06-01,S001,P0210,7,9.14,0
2026-06-01,S001,P0212,2,4.91,0
2026-06-01,S001,P0215,8,4.63,0
2026-06-01,S001,P0216,4,1.54,0
2026-06-01,S001,P0219,6,2.17,0
2026-06-01,S001,P0226,7,2.35,0
2026-06-01,S001,P0228,4,3.52,0
2026-06-01,S001,P0234,5,1.62,0
2026-06-01,S001,P0237,3,3.71,0
2026-06-01,S001,P0240,4,1.61,0
2026-06-01,S001,P0249,3,4.67,0
2026-06-01,S001,P0250,3,4.63,0
2026-06-01,S001,P0254,1,15.68,0
2026-06-01,S001,P0258,5,6.13,0
2026-06-01,S001,P0261,1,9.28,0
2026-06-01,S001,P0267,3,3.96,1
2026-06-01,S001,P0271,3,4.02,1
2026-06-01,S001,P0272,2,6.51,0
2026-06-01,S001,P0278,1,14.65,0
2026-06-01,S001,P0288,3,10.28,0
2026-06-01,S001,P0290,2,25.44,0
2026-06-01,S001,P0297,1,16.66,1
2026-06-01,S002,P0004,4,14.88,0
2026-06-01,S002,P0007,7,2.58,1
2026-06-01,S002,P0009,4,1.22,0
2026-06-01,S002,P0015,4,4.5,0
2026-06-01,S002,P0021,3,18.2,0
2026-06-01,S002,P0023,4,3.27,0
2026-06-01,S002,P0026,3,7.41,0
2026-06-01,S002,P0030,3,13.68,0
2026-06-01,S002,P0041,3,15.76,0
2026-06-01,S002,P0045,9,4.84,1
2026-06-01,S002,P0049,1,5.3,0
2026-06-01,S002,P0052,1,15.91,0
2026-06-01,S002,P0054,10,15.79,0
2026-06-01,S002,P0056,8,10.41,1
2026-06-01,S002,P0059,3,5.77,0
2026-06-01,S002,P0060,4,17.9,0
2026-06-01,S002,P0070,9,1.85,0
2026-06-01,S002,P0075,5,4.85,0
2026-06-01,S002,P0076,1,16.86,0
2026-06-01,S002,P0079,7,16.61,0
2026-06-01,S002,P0081,4,15.31,0
2026-06-01,S002,P0087,6,1.21,0
2026-06-01,S002,P0092,8,6.96,0
2026-06-01,S002,P0098,6,8.11,0
2026-06-01,S002,P0099,5,2.74,0
2026-06-01,S002,P0108,4,4.81,0
2026-06-01,S002,P0110,3,2.65,0
2026-06-01,S002,P0113,7,8.34,0
2026-06-01,S002,P0117,3,1.43,0
2026-06-01,S002,P0119,1,4.32,0
2026-06-01,S002,P0121,1,6.98,1
2026-06-01,S002,P0122,2,3.17,0
2026-06-01,S002,P0128,5,7.8,0
2026-06-01,S002,P0130,4,4.98,0
2026-06-01,S002,P0140,4,2.89,0
2026-06-01,S002,P0145,4,2.29,0
